Latitude (decimal degrees):	2.303
Longitude (decimal degrees):	32.964
Elevation (m):	1120
Radiation database:	PVGIS-SARAH2


Slope: 4 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,20.3,1.03,0.0
20190101:0106,0.0,0.0,0.0,20.04,0.97,0.0
20190101:0206,0.0,0.0,0.0,19.42,1.24,0.0
20190101:0306,0.0,0.0,0.0,19.28,1.52,0.0
20190101:0406,0.08,5.99,2.48,18.94,1.59,0.0
20190101:0506,164.99,229.05,16.19,20.34,1.24,0.0
20190101:0606,396.28,513.03,29.62,24.04,2.0,0.0
20190101:0706,555.6,723.03,42.45,26.24,2.62,0.0
20190101:0806,666.34,882.16,53.96,28.26,3.24,0.0
20190101:0906,739.2,994.01,62.39,29.9,3.59,0.0
20190101:1006,762.57,1036.54,64.44,31.11,3.52,0.0
20190101:1106,735.91,1002.73,58.82,31.99,3.24,0.0
20190101:1206,632.95,854.01,48.56,32.59,3.03,0.0
20190101:1306,477.45,637.56,36.27,32.78,2.97,0.0
20190101:1406,284.36,390.91,23.09,32.38,2.69,0.0
20190101:1506,74.91,131.65,9.49,31.31,2.14,0.0
20190101:1606,0.0,0.0,0.0,29.07,1.72,0.0
20190101:1706,0.0,0.0,0.0,26.84,1.59,0.0
20190101:1806,0.0,0.0,0.0,24.97,1.45,0.0
20190101:1906,0.0,0.0,0.0,24.15,1.86,0.0
20190101:2006,0.0,0.0,0.0,23.25,1.93,0.0
20190101:2106,0.0,0.0,0.0,22.51,1.86,0.0
20190101:2206,0.0,0.0,0.0,22.07,1.72,0.0
20190101:2306,0.0,0.0,0.0,20.92,1.52,0.0
20190102:0006,0.0,0.0,0.0,20.11,1.31,0.0
20190102:0106,0.0,0.0,0.0,19.5,1.31,0.0
20190102:0206,0.0,0.0,0.0,18.99,1.17,0.0
20190102:0306,0.0,0.0,0.0,18.63,1.1,0.0
20190102:0406,2.04,11.59,2.38,18.28,1.1,0.0
20190102:0506,185.89,261.47,16.1,20.31,0.48,0.0
20190102:0606,396.37,520.13,29.55,23.99,0.69,0.0
20190102:0706,554.59,739.59,42.4,26.35,0.9,0.0
20190102:0806,668.14,908.09,53.94,28.27,1.52,0.0
20190102:0906,728.15,1001.47,62.42,29.93,2.07,0.0
20190102:1006,749.87,1044.96,64.54,31.02,1.93,0.0
20190102:1106,714.01,995.17,58.95,31.3,1.59,0.0
20190102:1206,596.13,819.31,48.69,32.29,1.45,0.0
20190102:1306,463.69,628.57,36.4,32.54,1.38,0.0
20190102:1406,212.9,295.44,23.21,32.44,1.31,0.0
20190102:1506,74.73,131.06,9.6,31.85,1.03,0.0
20190102:1606,0.0,0.0,0.0,29.8,0.97,0.0
20190102:1706,0.0,0.0,0.0,28.39,1.38,0.0
20190102:1806,0.0,0.0,0.0,26.82,1.66,0.0
20190102:1906,0.0,0.0,0.0,25.57,1.86,0.0
20190102:2006,0.0,0.0,0.0,24.73,1.86,0.0
20190102:2106,0.0,0.0,0.0,23.83,1.86,0.0
20190102:2206,0.0,0.0,0.0,23.27,1.72,0.0
20190102:2306,0.0,0.0,0.0,22.36,1.59,0.0
20190103:0006,0.0,0.0,0.0,21.5,1.45,0.0
20190103:0106,0.0,0.0,0.0,20.77,1.31,0.0
20190103:0206,0.0,0.0,0.0,20.18,1.1,0.0
20190103:0306,0.0,0.0,0.0,20.31,0.9,0.0
20190103:0406,2.24,10.99,2.29,19.59,1.03,0.0
20190103:0506,180.63,254.54,16.02,20.79,0.76,0.0
20190103:0606,390.66,512.53,29.48,25.27,1.24,0.0
20190103:0706,549.77,726.71,42.35,27.35,1.72,0.0
20190103:0806,671.27,898.57,53.93,29.46,2.83,0.0
20190103:0906,731.38,991.97,62.46,30.92,3.24,0.0
20190103:1006,755.59,1035.45,64.64,31.77,3.1,0.0
20190103:1106,662.28,900.92,59.09,32.32,2.97,0.0
20190103:1206,475.12,635.26,48.83,32.4,3.03,0.0
20190103:1306,158.77,220.93,36.52,32.24,3.17,0.0
20190103:1406,14.94,32.96,23.33,32.12,3.59,0.0
20190103:1506,2.04,10.99,9.71,31.62,3.24,0.0
20190103:1606,0.0,0.0,0.0,30.26,2.55,0.0
20190103:1706,0.0,0.0,0.0,29.07,2.69,0.0
20190103:1806,0.0,0.0,0.0,27.94,3.03,0.0
20190103:1906,0.0,0.0,0.0,27.07,2.9,0.0
20190103:2006,0.0,0.0,0.0,26.29,3.17,0.0
20190103:2106,0.0,0.0,0.0,25.74,3.17,0.0
20190103:2206,0.0,0.0,0.0,25.07,2.76,0.0
20190103:2306,0.0,0.0,0.0,24.45,2.34,0.0
20190104:0006,0.0,0.0,0.0,24.02,2.21,0.0
20190104:0106,0.0,0.0,0.0,23.79,2.55,0.0
20190104:0206,0.0,0.0,0.0,23.38,2.41,0.0
20190104:0306,0.0,0.0,0.0,23.06,2.07,0.0
20190104:0406,0.06,5.99,2.19,22.96,2.07,0.0
20190104:0506,18.46,36.96,15.94,23.42,2.0,0.0
20190104:0606,59.96,91.89,29.41,24.98,2.83,0.0
20190104:0706,539.02,694.01,42.3,26.94,4.0,0.0
20190104:0806,682.64,890.12,53.91,27.96,4.48,0.0
20190104:0906,701.87,928.83,62.51,29.54,4.48,0.0
20190104:1006,669.59,891.96,64.76,30.59,4.28,0.0
20190104:1106,497.79,659.97,59.23,31.46,4.14,0.0
20190104:1206,463.64,612.62,48.97,31.84,4.21,0.0
20190104:1306,149.57,207.88,36.66,31.35,4.34,0.0
20190104:1406,79.27,118.86,23.45,30.82,4.0,0.0
20190104:1506,22.67,43.95,9.83,30.06,3.59,0.0
20190104:1606,0.0,0.0,0.0,29.01,3.17,0.0
20190104:1706,0.0,0.0,0.0,27.86,3.03,0.0
20190104:1806,0.0,0.0,0.0,26.9,2.9,0.0
20190104:1906,0.0,0.0,0.0,26.6,2.9,0.0
20190104:2006,0.0,0.0,0.0,25.78,2.41,0.0
20190104:2106,0.0,0.0,0.0,24.98,2.14,0.0
20190104:2206,0.0,0.0,0.0,24.2,1.86,0.0
20190104:2306,0.0,0.0,0.0,23.48,1.72,0.0
20190105:0006,0.0,0.0,0.0,22.84,1.66,0.0
20190105:0106,0.0,0.0,0.0,22.47,1.66,0.0
20190105:0206,0.0,0.0,0.0,21.62,1.59,0.0
20190105:0306,0.0,0.0,0.0,21.25,1.45,0.0
20190105:0406,0.0,0.0,0.0,20.54,1.38,0.0
20190105:0506,131.28,184.52,15.85,21.65,0.97,0.0
20190105:0606,391.28,510.01,29.35,24.7,1.66,0.0
20190105:0706,566.87,737.18,42.26,26.65,2.9,0.0
20190105:0806,684.62,902.35,53.91,28.73,3.93,0.0
20190105:0906,749.96,1002.07,62.56,30.56,4.48,0.0
20190105:1006,772.55,1041.21,64.88,32.05,4.69,0.0
20190105:1106,723.02,972.14,59.38,33.13,4.83,0.0
20190105:1206,629.65,839.06,49.11,33.64,4.83,0.0
20190105:1306,480.46,635.29,36.79,33.61,4.9,0.0
20190105:1406,289.26,394.09,23.57,33.05,4.9,0.0
20190105:1506,84.91,148.34,9.94,31.97,4.55,0.0
20190105:1606,0.0,0.0,0.0,30.35,3.86,0.0
20190105:1706,0.0,0.0,0.0,28.92,3.45,0.0
20190105:1806,0.0,0.0,0.0,27.85,3.17,0.0
