,solar_po
7/1/14 0:00,0
7/1/14 1:00,0
7/1/14 2:00,0
7/1/14 3:00,0
7/1/14 4:00,0.0865
7/1/14 5:00,0.30541
7/1/14 6:00,0.4731
7/1/14 7:00,0.59771
7/1/14 8:00,0.67964
7/1/14 9:00,0.71058
7/1/14 10:00,0.60834
7/1/14 11:00,0.51427
7/1/14 12:00,0.24188
7/1/14 13:00,0.27078
7/1/14 14:00,0.13115
7/1/14 15:00,0.03718
7/1/14 16:00,0
7/1/14 17:00,0
7/1/14 18:00,0
7/1/14 19:00,0
7/1/14 20:00,0
7/1/14 21:00,0
7/1/14 22:00,0
7/1/14 23:00,0
7/2/14 0:00,0
7/2/14 1:00,0
7/2/14 2:00,0
7/2/14 3:00,0
7/2/14 4:00,0.07613
7/2/14 5:00,0.31255
7/2/14 6:00,0.47504
7/2/14 7:00,0.58522
7/2/14 8:00,0.66716
7/2/14 9:00,0.69631
7/2/14 10:00,0.62403
7/2/14 11:00,0.10093
7/2/14 12:00,0.42737
7/2/14 13:00,0.26287
7/2/14 14:00,0.06623
7/2/14 15:00,0.00961
7/2/14 16:00,0
7/2/14 17:00,0
7/2/14 18:00,0
7/2/14 19:00,0
7/2/14 20:00,0
7/2/14 21:00,0
7/2/14 22:00,0
7/2/14 23:00,0
7/3/14 0:00,0
7/3/14 1:00,0
7/3/14 2:00,0
7/3/14 3:00,0
7/3/14 4:00,0.00659
7/3/14 5:00,0.24202
7/3/14 6:00,0.30708
7/3/14 7:00,0.20575
7/3/14 8:00,0.45009
7/3/14 9:00,0.64949
7/3/14 10:00,0.67239
7/3/14 11:00,0.54813
7/3/14 12:00,0.08371
7/3/14 13:00,0.06596
7/3/14 14:00,0.13128
7/3/14 15:00,0.03785
7/3/14 16:00,0
7/3/14 17:00,0
7/3/14 18:00,0
7/3/14 19:00,0
7/3/14 20:00,0
7/3/14 21:00,0
7/3/14 22:00,0
7/3/14 23:00,0
7/4/14 0:00,0
7/4/14 1:00,0
7/4/14 2:00,0
7/4/14 3:00,0
7/4/14 4:00,0.08246
7/4/14 5:00,0.30151
7/4/14 6:00,0.46854
7/4/14 7:00,0.59934
7/4/14 8:00,0.67621
7/4/14 9:00,0.70354
7/4/14 10:00,0.6782
7/4/14 11:00,0.59575
7/4/14 12:00,0.39231
7/4/14 13:00,0.06978
7/4/14 14:00,0.0963
7/4/14 15:00,0.02321
7/4/14 16:00,0
7/4/14 17:00,0
7/4/14 18:00,0
7/4/14 19:00,0
7/4/14 20:00,0
7/4/14 21:00,0
7/4/14 22:00,0
7/4/14 23:00,0
7/5/14 0:00,0
7/5/14 1:00,0
7/5/14 2:00,0
7/5/14 3:00,0
7/5/14 4:00,0.11929
7/5/14 5:00,0.311
7/5/14 6:00,0.45073
7/5/14 7:00,0.56266
7/5/14 8:00,0.65467
7/5/14 9:00,0.69134
7/5/14 10:00,0.65378
7/5/14 11:00,0.35372
7/5/14 12:00,0.08359
7/5/14 13:00,0.21404
7/5/14 14:00,0.12044
7/5/14 15:00,0.03168
7/5/14 16:00,0
7/5/14 17:00,0
7/5/14 18:00,0
7/5/14 19:00,0
7/5/14 20:00,0
7/5/14 21:00,0
7/5/14 22:00,0
7/5/14 23:00,0
7/6/14 0:00,0
7/6/14 1:00,0
7/6/14 2:00,0
7/6/14 3:00,0
7/6/14 4:00,0.03112
7/6/14 5:00,0.12861
7/6/14 6:00,0.25987
7/6/14 7:00,0.45774
7/6/14 8:00,0.6098
7/6/14 9:00,0.62127
7/6/14 10:00,0.66283
7/6/14 11:00,0.60661
7/6/14 12:00,0.03975
7/6/14 13:00,0.15547
7/6/14 14:00,0.13554
7/6/14 15:00,0.00153
7/6/14 16:00,0
7/6/14 17:00,0
7/6/14 18:00,0
7/6/14 19:00,0
7/6/14 20:00,0
7/6/14 21:00,0
7/6/14 22:00,0
7/6/14 23:00,0
