time,P
20190101:0006,0.0
20190101:0106,0.0
20190101:0206,0.0
20190101:0306,0.0
20190101:0406,0.0
20190101:0506,141.1
20190101:0606,340.88
20190101:0706,531.78
20190101:0806,660.78
20190101:0906,726.03
20190101:1006,745.34
20190101:1106,684.0
20190101:1206,571.46
20190101:1306,480.25
20190101:1406,286.9
20190101:1506,83.93
20190101:1606,0.0
20190101:1706,0.0
20190101:1806,0.0
20190101:1906,0.0
20190101:2006,0.0
20190101:2106,0.0
20190101:2206,0.0
20190101:2306,0.0
20190102:0006,0.0
20190102:0106,0.0
20190102:0206,0.0
20190102:0306,0.0
20190102:0406,0.0
20190102:0506,168.77
20190102:0606,382.87
20190102:0706,542.83
20190102:0806,645.4
20190102:0906,695.47
20190102:1006,173.56
20190102:1106,670.86
20190102:1206,591.17
20190102:1306,471.08
20190102:1406,302.71
20190102:1506,91.53
20190102:1606,0.0
20190102:1706,0.0
20190102:1806,0.0
20190102:1906,0.0
20190102:2006,0.0
20190102:2106,0.0
20190102:2206,0.0
20190102:2306,0.0
20190103:0006,0.0
20190103:0106,0.0
20190103:0206,0.0
20190103:0306,0.0
20190103:0406,0.0
20190103:0506,159.41
20190103:0606,363.87
20190103:0706,521.72
20190103:0806,629.74
20190103:0906,674.68
20190103:1006,706.02
20190103:1106,512.92
20190103:1206,581.96
20190103:1306,337.66
20190103:1406,150.4
20190103:1506,48.3
20190103:1606,0.0
20190103:1706,0.0
20190103:1806,0.0
20190103:1906,0.0
20190103:2006,0.0
20190103:2106,0.0
20190103:2206,0.0
20190103:2306,0.0
20190104:0006,0.0
20190104:0106,0.0
20190104:0206,0.0
20190104:0306,0.0
20190104:0406,0.0
20190104:0506,98.07
20190104:0606,168.15
20190104:0706,107.47
20190104:0806,365.64
20190104:0906,687.43
20190104:1006,699.11
20190104:1106,416.12
20190104:1206,308.28
20190104:1306,315.57
20190104:1406,288.77
20190104:1506,91.91
20190104:1606,0.0
20190104:1706,0.0
20190104:1806,0.0
20190104:1906,0.0
20190104:2006,0.0
20190104:2106,0.0
20190104:2206,0.0
20190104:2306,0.0
20190105:0006,0.0
20190105:0106,0.0
20190105:0206,0.0
20190105:0306,0.0
20190105:0406,0.0
20190105:0506,71.22
20190105:0606,368.06
20190105:0706,539.21
20190105:0806,661.86
20190105:0906,731.26
20190105:1006,748.03
20190105:1106,700.35
20190105:1206,561.42
20190105:1306,370.49
20190105:1406,209.43
20190105:1506,87.78
20190105:1606,0.0
20190105:1706,0.0
20190105:1806,0.0
20190105:1906,0.0
20190105:2006,0.0
20190105:2106,0.0
20190105:2206,0.0
20190105:2306,0.0
20190106:0006,0.0
20190106:0106,0.0
20190106:0206,0.0
20190106:0306,0.0
20190106:0406,0.0
20190106:0506,165.8
20190106:0606,372.09
20190106:0706,535.84
20190106:0806,656.21
20190106:0906,725.99
20190106:1006,736.36
20190106:1106,695.52
20190106:1206,621.81
20190106:1306,485.27
20190106:1406,306.98
20190106:1506,93.89
20190106:1606,0.0
20190106:1706,0.0
20190106:1806,0.0
20190106:1906,0.0
20190106:2006,0.0
20190106:2106,0.0
20190106:2206,0.0
20190106:2306,0.0
20190107:0006,0.0
20190107:0106,0.0
20190107:0206,0.0
20190107:0306,0.0
20190107:0406,0.0
20190107:0506,139.22
20190107:0606,322.54
20190107:0706,415.08
20190107:0806,625.5
20190107:0906,708.05
20190107:1006,706.55
20190107:1106,698.15
20190107:1206,620.86
20190107:1306,485.07
20190107:1406,239.24
20190107:1506,65.92
20190107:1606,0.0
20190107:1706,0.0
20190107:1806,0.0
20190107:1906,0.0
20190107:2006,0.0
20190107:2106,0.0
20190107:2206,0.0
20190107:2306,0.0
20190108:0006,0.0
20190108:0106,0.0
20190108:0206,0.0
20190108:0306,0.0
20190108:0406,0.0
20190108:0506,128.59
20190108:0606,332.36
20190108:0706,506.24
20190108:0806,635.23
20190108:0906,708.24
20190108:1006,725.08
20190108:1106,689.09
20190108:1206,612.18
20190108:1306,478.14
20190108:1406,300.61
20190108:1506,92.14
20190108:1606,0.0
20190108:1706,0.0
20190108:1806,0.0
20190108:1906,0.0
20190108:2006,0.0
20190108:2106,0.0
20190108:2206,0.0
20190108:2306,0.0
20190109:0006,0.0
20190109:0106,0.0
20190109:0206,0.0
20190109:0306,0.0
20190109:0406,0.0
20190109:0506,135.12
20190109:0606,346.11
20190109:0706,517.15
20190109:0806,627.23
20190109:0906,683.93
20190109:1006,710.66
20190109:1106,662.1
20190109:1206,553.6
20190109:1306,479.96
20190109:1406,300.9
20190109:1506,96.96
20190109:1606,0.0
20190109:1706,0.0
20190109:1806,0.0
20190109:1906,0.0
20190109:2006,0.0
20190109:2106,0.0
20190109:2206,0.0
20190109:2306,0.0
20190110:0006,0.0
20190110:0106,0.0
20190110:0206,0.0
20190110:0306,0.0
20190110:0406,0.0
20190110:0506,135.22
20190110:0606,347.36
20190110:0706,521.17
20190110:0806,630.55
20190110:0906,698.17
20190110:1006,712.72
20190110:1106,677.75
20190110:1206,608.72
20190110:1306,482.51
20190110:1406,311.79
20190110:1506,98.28
20190110:1606,0.0
20190110:1706,0.0
20190110:1806,0.0
20190110:1906,0.0
20190110:2006,0.0
20190110:2106,0.0
20190110:2206,0.0
20190110:2306,0.0
20190111:0006,0.0
20190111:0106,0.0
20190111:0206,0.0
20190111:0306,0.0
20190111:0406,0.0
20190111:0506,137.34
20190111:0606,347.13
20190111:0706,518.13
20190111:0806,636.7
20190111:0906,704.48
20190111:1006,712.71
20190111:1106,675.49
20190111:1206,446.06
20190111:1306,327.68
20190111:1406,306.98
20190111:1506,94.71
20190111:1606,0.0
20190111:1706,0.0
20190111:1806,0.0
20190111:1906,0.0
20190111:2006,0.0
20190111:2106,0.0
20190111:2206,0.0
20190111:2306,0.0
20190112:0006,0.0
20190112:0106,0.0
20190112:0206,0.0
20190112:0306,0.0
20190112:0406,0.0
20190112:0506,149.2
20190112:0606,368.41
20190112:0706,541.6
20190112:0806,667.5
20190112:0906,732.73
20190112:1006,742.71
20190112:1106,702.77
20190112:1206,623.84
20190112:1306,494.74
20190112:1406,316.21
20190112:1506,102.14
20190112:1606,0.0
20190112:1706,0.0
20190112:1806,0.0
20190112:1906,0.0
20190112:2006,0.0
20190112:2106,0.0
20190112:2206,0.0
20190112:2306,0.0
20190113:0006,0.0
20190113:0106,0.0
20190113:0206,0.0
20190113:0306,0.0
20190113:0406,0.0
20190113:0506,148.46
20190113:0606,368.43
20190113:0706,550.21
20190113:0806,672.69
20190113:0906,737.84
20190113:1006,746.48
20190113:1106,706.97
20190113:1206,624.73
20190113:1306,493.93
20190113:1406,321.79
20190113:1506,106.68
20190113:1606,0.0
20190113:1706,0.0
20190113:1806,0.0
20190113:1906,0.0
20190113:2006,0.0
20190113:2106,0.0
20190113:2206,0.0
20190113:2306,0.0
20190114:0006,0.0
20190114:0106,0.0
20190114:0206,0.0
20190114:0306,0.0
20190114:0406,0.0
20190114:0506,134.97
20190114:0606,357.87
20190114:0706,527.95
20190114:0806,649.49
20190114:0906,717.96
20190114:1006,724.56
20190114:1106,687.83
20190114:1206,572.38
20190114:1306,436.31
20190114:1406,298.49
20190114:1506,105.94
20190114:1606,0.0
20190114:1706,0.0
20190114:1806,0.0
20190114:1906,0.0
20190114:2006,0.0
20190114:2106,0.0
20190114:2206,0.0
20190114:2306,0.0
20190115:0006,0.0
20190115:0106,0.0
20190115:0206,0.0
20190115:0306,0.0
20190115:0406,0.0
20190115:0506,138.21
20190115:0606,344.67
20190115:0706,515.4
20190115:0806,626.67
20190115:0906,577.11
20190115:1006,650.48
20190115:1106,612.91
20190115:1206,606.8
20190115:1306,416.56
20190115:1406,319.69
20190115:1506,107.61
20190115:1606,0.0
20190115:1706,0.0
20190115:1806,0.0
20190115:1906,0.0
20190115:2006,0.0
20190115:2106,0.0
20190115:2206,0.0
20190115:2306,0.0
20190116:0006,0.0
20190116:0106,0.0
20190116:0206,0.0
20190116:0306,0.0
20190116:0406,0.0
20190116:0506,132.8
20190116:0606,310.48
20190116:0706,507.19
20190116:0806,623.38
20190116:0906,611.93
20190116:1006,581.42
20190116:1106,564.47
20190116:1206,590.24
20190116:1306,442.96
20190116:1406,228.86
20190116:1506,48.64
20190116:1606,0.0
20190116:1706,0.0
20190116:1806,0.0
20190116:1906,0.0
20190116:2006,0.0
20190116:2106,0.0
20190116:2206,0.0
20190116:2306,0.0
20190117:0006,0.0
20190117:0106,0.0
20190117:0206,0.0
20190117:0306,0.0
20190117:0406,0.0
20190117:0506,107.46
20190117:0606,330.73
20190117:0706,511.46
20190117:0806,595.39
20190117:0906,687.68
20190117:1006,463.65
20190117:1106,442.32
20190117:1206,551.04
20190117:1306,292.37
20190117:1406,305.84
20190117:1506,108.51
20190117:1606,0.0
20190117:1706,0.0
20190117:1806,0.0
20190117:1906,0.0
20190117:2006,0.0
20190117:2106,0.0
20190117:2206,0.0
20190117:2306,0.0
20190118:0006,0.0
20190118:0106,0.0
20190118:0206,0.0
20190118:0306,0.0
20190118:0406,0.0
20190118:0506,133.81
20190118:0606,342.63
20190118:0706,512.97
20190118:0806,633.57
20190118:0906,705.1
20190118:1006,724.88
20190118:1106,691.74
20190118:1206,616.05
20190118:1306,489.92
20190118:1406,317.38
20190118:1506,109.09
20190118:1606,0.0
20190118:1706,0.0
20190118:1806,0.0
20190118:1906,0.0
20190118:2006,0.0
20190118:2106,0.0
20190118:2206,0.0
20190118:2306,0.0
20190119:0006,0.0
20190119:0106,0.0
20190119:0206,0.0
20190119:0306,0.0
20190119:0406,0.0
20190119:0506,132.56
20190119:0606,343.86
20190119:0706,513.59
20190119:0806,624.96
20190119:0906,690.61
20190119:1006,723.44
20190119:1106,695.76
20190119:1206,619.17
20190119:1306,490.02
20190119:1406,313.91
20190119:1506,111.47
20190119:1606,0.0
20190119:1706,0.0
20190119:1806,0.0
20190119:1906,0.0
20190119:2006,0.0
20190119:2106,0.0
20190119:2206,0.0
20190119:2306,0.0
20190120:0006,0.0
20190120:0106,0.0
20190120:0206,0.0
20190120:0306,0.0
20190120:0406,0.0
20190120:0506,127.21
20190120:0606,192.59
20190120:0706,472.36
20190120:0806,629.14
20190120:0906,693.99
20190120:1006,714.49
20190120:1106,687.78
20190120:1206,618.64
20190120:1306,491.12
20190120:1406,324.97
20190120:1506,114.55
20190120:1606,0.0
20190120:1706,0.0
20190120:1806,0.0
20190120:1906,0.0
20190120:2006,0.0
20190120:2106,0.0
20190120:2206,0.0
20190120:2306,0.0
20190121:0006,0.0
20190121:0106,0.0
20190121:0206,0.0
20190121:0306,0.0
20190121:0406,0.0
20190121:0506,133.02
20190121:0606,349.78
20190121:0706,522.45
20190121:0806,642.36
20190121:0906,707.56
20190121:1006,726.29
20190121:1106,701.69
20190121:1206,624.15
20190121:1306,500.22
20190121:1406,329.77
20190121:1506,116.97
20190121:1606,0.0
20190121:1706,0.0
20190121:1806,0.0
20190121:1906,0.0
20190121:2006,0.0
20190121:2106,0.0
20190121:2206,0.0
20190121:2306,0.0
20190122:0006,0.0
20190122:0106,0.0
20190122:0206,0.0
20190122:0306,0.0
20190122:0406,0.0
20190122:0506,138.36
20190122:0606,351.54
20190122:0706,521.89
20190122:0806,636.96
20190122:0906,689.56
20190122:1006,727.59
20190122:1106,708.25
20190122:1206,626.22
20190122:1306,504.35
20190122:1406,333.3
20190122:1506,121.25
20190122:1606,0.0
20190122:1706,0.0
20190122:1806,0.0
20190122:1906,0.0
20190122:2006,0.0
20190122:2106,0.0
20190122:2206,0.0
20190122:2306,0.0
20190123:0006,0.0
20190123:0106,0.0
20190123:0206,0.0
20190123:0306,0.0
20190123:0406,0.0
20190123:0506,133.77
20190123:0606,349.87
20190123:0706,518.97
20190123:0806,634.69
20190123:0906,691.11
20190123:1006,701.88
20190123:1106,675.99
20190123:1206,608.5
20190123:1306,492.94
20190123:1406,324.23
20190123:1506,122.31
20190123:1606,0.0
20190123:1706,0.0
20190123:1806,0.0
20190123:1906,0.0
20190123:2006,0.0
20190123:2106,0.0
20190123:2206,0.0
20190123:2306,0.0
20190124:0006,0.0
20190124:0106,0.0
20190124:0206,0.0
20190124:0306,0.0
20190124:0406,0.0
20190124:0506,115.43
20190124:0606,336.5
20190124:0706,516.33
20190124:0806,645.44
20190124:0906,715.82
20190124:1006,729.93
20190124:1106,693.18
20190124:1206,617.56
20190124:1306,494.71
20190124:1406,323.96
20190124:1506,119.25
20190124:1606,0.0
20190124:1706,0.0
20190124:1806,0.0
20190124:1906,0.0
20190124:2006,0.0
20190124:2106,0.0
20190124:2206,0.0
20190124:2306,0.0
20190125:0006,0.0
20190125:0106,0.0
20190125:0206,0.0
20190125:0306,0.0
20190125:0406,0.0
20190125:0506,129.16
20190125:0606,332.19
20190125:0706,515.3
20190125:0806,649.59
20190125:0906,721.05
20190125:1006,740.51
20190125:1106,701.68
20190125:1206,626.07
20190125:1306,430.81
20190125:1406,319.34
20190125:1506,123.96
20190125:1606,0.0
20190125:1706,0.0
20190125:1806,0.0
20190125:1906,0.0
20190125:2006,0.0
20190125:2106,0.0
20190125:2206,0.0
20190125:2306,0.0
20190126:0006,0.0
20190126:0106,0.0
20190126:0206,0.0
20190126:0306,0.0
20190126:0406,0.0
20190126:0506,142.59
20190126:0606,320.35
